"Step","7b_INTERLEAVE - batch/solve_none","7b_INTERLEAVE - batch/solve_none__MIN","7b_INTERLEAVE - batch/solve_none__MAX","7b_on_policy - batch/solve_none","7b_on_policy - batch/solve_none__MIN","7b_on_policy - batch/solve_none__MAX"
"192","15","15","15","19","19","19"
"193","9","9","9","15","15","15"
"194","14","14","14","16","16","16"
"195","22","22","22","22","22","22"
"196","19","19","19","22","22","22"
"197","16","16","16","24","24","24"
"198","23","23","23","22","22","22"
"199","4","4","4","8","8","8"
"200","17","17","17","22","22","22"
"201","20","20","20","22","22","22"
"202","14","14","14","22","22","22"
"203","19","19","19","24","24","24"
"204","9","9","9","18","18","18"
"205","15","15","15","25","25","25"
"206","11","11","11","13","13","13"
"207","14","14","14","21","21","21"
"208","13","13","13","22","22","22"
"209","16","16","16","17","17","17"
"210","14","14","14","23","23","23"
"211","10","10","10","17","17","17"
"212","16","16","16","30","30","30"
"213","10","10","10","17","17","17"
"214","16","16","16","15","15","15"
"215","10","10","10","17","17","17"
"216","12","12","12","24","24","24"
"217","10","10","10","15","15","15"
"218","12","12","12","19","19","19"
"219","16","16","16","17","17","17"
"220","13","13","13","20","20","20"
"221","12","12","12","14","14","14"
"222","8","8","8","22","22","22"
"223","10","10","10","21","21","21"
"224","17","17","17","22","22","22"
"225","20","20","20","27","27","27"
"226","7","7","7","18","18","18"
"227","15","15","15","20","20","20"
"228","17","17","17","18","18","18"
"229","17","17","17","20","20","20"
"230","14","14","14","21","21","21"
"231","15","15","15","16","16","16"
"232","22","22","22","24","24","24"
"233","10","10","10","19","19","19"
"234","18","18","18","21","21","21"
"235","15","15","15","19","19","19"
"236","20","20","20","33","33","33"
"237","18","18","18","23","23","23"
"238","18","18","18","22","22","22"
"239","10","10","10","12","12","12"
"240","12","12","12","21","21","21"
"241","15","15","15","22","22","22"
"242","15","15","15","21","21","21"
"243","7","7","7","14","14","14"
"244","13","13","13","22","22","22"
"245","13","13","13","24","24","24"
"246","14","14","14","18","18","18"
"247","16","16","16","22","22","22"
"248","17","17","17","25","25","25"
"249","19","19","19","23","23","23"
"250","10","10","10","12","12","12"
"251","6","6","6","17","17","17"
"252","15","15","15","16","16","16"
"253","11","11","11","17","17","17"
"254","16","16","16","15","15","15"
"255","20","20","20","26","26","26"
"256","15","15","15","24","24","24"
"257","18","18","18","19","19","19"
"258","18","18","18","24","24","24"
"259","11","11","11","24","24","24"
"260","15","15","15","24","24","24"
"261","13","13","13","17","17","17"
"262","14","14","14","28","28","28"
"263","16","16","16","22","22","22"
"264","15","15","15","14","14","14"
"265","13","13","13","17","17","17"
"266","20","20","20","24","24","24"
"267","19","19","19","25","25","25"
"268","8","8","8","15","15","15"
"269","12","12","12","14","14","14"
"270","19","19","19","26","26","26"
"271","16","16","16","22","22","22"
"272","16","16","16","16","16","16"
"273","19","19","19","31","31","31"
"274","8","8","8","16","16","16"
"275","11","11","11","18","18","18"
"276","14","14","14","17","17","17"
"277","14","14","14","22","22","22"
"278","14","14","14","18","18","18"
"279","18","18","18","21","21","21"
"280","12","12","12","16","16","16"
"281","14","14","14","18","18","18"
"282","16","16","16","16","16","16"
"283","10","10","10","18","18","18"
"284","15","15","15","27","27","27"
"285","15","15","15","25","25","25"
"286","12","12","12","18","18","18"
"287","16","16","16","24","24","24"
"288","13","13","13","23","23","23"
"289","14","14","14","13","13","13"
"290","11","11","11","20","20","20"
"291","14","14","14","23","23","23"
"292","10","10","10","20","20","20"
"293","10","10","10","14","14","14"
"294","14","14","14","20","20","20"
"295","9","9","9","18","18","18"
"296","9","9","9","21","21","21"
"297","5","5","5","12","12","12"
"298","21","21","21","28","28","28"
"299","15","15","15","21","21","21"
"300","12","12","12","20","20","20"
"301","13","13","13","21","21","21"
"302","18","18","18","20","20","20"
"303","11","11","11","26","26","26"
"304","6","6","6","21","21","21"
"305","12","12","12","24","24","24"
"306","14","14","14","19","19","19"
"307","9","9","9","21","21","21"
"308","15","15","15","22","22","22"
"309","16","16","16","21","21","21"
"310","13","13","13","23","23","23"
"311","13","13","13","25","25","25"
"312","17","17","17","21","21","21"
"313","13","13","13","21","21","21"
"314","16","16","16","21","21","21"
"315","16","16","16","17","17","17"
"316","13","13","13","19","19","19"
"317","14","14","14","20","20","20"
"318","11","11","11","13","13","13"
"319","17","17","17","25","25","25"
"320","5","5","5","13","13","13"
"321","16","16","16","23","23","23"
"322","12","12","12","19","19","19"
"323","15","15","15","26","26","26"
"324","9","9","9","20","20","20"
"325","9","9","9","17","17","17"
"326","12","12","12","20","20","20"
"327","13","13","13","21","21","21"
"328","17","17","17","25","25","25"
"329","12","12","12","24","24","24"
"330","11","11","11","19","19","19"
"331","5","5","5","17","17","17"
"332","10","10","10","21","21","21"
"333","9","9","9","20","20","20"
"334","8","8","8","18","18","18"
"335","8","8","8","18","18","18"
"336","9","9","9","18","18","18"
